Gene	GO
Zm00001d002232	GO:0005515
Zm00001d022419	GO:0005515
Zm00001d036999	GO:0005515
Zm00001d052733	GO:0005515
Zm00001d013262	GO:0005515
Zm00001d009003	GO:0005515
Zm00001d048563	GO:0005515
Zm00001d050914	GO:0005515
Zm00001d004677	GO:0005515
Zm00001d045494	GO:0005515
Zm00001d044515	GO:0005515
Zm00001d016505	GO:0005515
Zm00001d042389	GO:0005515
Zm00001d010206	GO:0005515
Zm00001d026263	GO:0005515
Zm00001d032028	GO:0005515
Zm00001d046968	GO:0005515
Zm00001d052061	GO:0005515
Zm00001d042450	GO:0005515
Zm00001d012441	GO:0005515
Zm00001d007698	GO:0005515
Zm00001d026300	GO:0005515
Zm00001d018072	GO:0005515
Zm00001d026366	GO:0005515
Zm00001d019852	GO:0005515
Zm00001d021978	GO:0005515
Zm00001d015319	GO:0005515
Zm00001d020171	GO:0005515
Zm00001d044139	GO:0005515
Zm00001d041056	GO:0005515
Zm00001d004966	GO:0005515
Zm00001d021516	GO:0005515
Zm00001d043236	GO:0005515
Zm00001d018190	GO:0005515
Zm00001d021820	GO:0005515
Zm00001d012233	GO:0005515
Zm00001d028481	GO:0005515
Zm00001d028271	GO:0005515
Zm00001d007125	GO:0005515
Zm00001d032008	GO:0005515
Zm00001d018867	GO:0005515
Zm00001d007727	GO:0005515
Zm00001d024824	GO:0005515
Zm00001d027868	GO:0005515
Zm00001d043271	GO:0005515
Zm00001d012340	GO:0005515
Zm00001d037051	GO:0005515
Zm00001d046810	GO:0005515
Zm00001d005732	GO:0005515
Zm00001d016225	GO:0005515
Zm00001d001825	GO:0005515
Zm00001d035636	GO:0005515
Zm00001d051946	GO:0005515
Zm00001d025491	GO:0005515
Zm00001d039374	GO:0005515
Zm00001d015778	GO:0005515
Zm00001d049871	GO:0005515
Zm00001d014199	GO:0005515
Zm00001d017626	GO:0005515
Zm00001d000074	GO:0005515
Zm00001d048612	GO:0005515
Zm00001d038078	GO:0005515
Zm00001d049958	GO:0005515
Zm00001d049630	GO:0005515
Zm00001d053986	GO:0005515
Zm00001d018306	GO:0005515
Zm00001d002447	GO:0005515
Zm00001d016137	GO:0005515
Zm00001d011588	GO:0005515
Zm00001d013941	GO:0005515
Zm00001d031058	GO:0005515
Zm00001d012769	GO:0005515
Zm00001d037518	GO:0005515
Zm00001d011096	GO:0005515
Zm00001d044573	GO:0005515
Zm00001d014909	GO:0005515
Zm00001d002316	GO:0005515
Zm00001d029435	GO:0005515
Zm00001d044620	GO:0005515
Zm00001d005481	GO:0005515
Zm00001d022478	GO:0005515
Zm00001d052298	GO:0005515
Zm00001d051103	GO:0005515
Zm00001d004215	GO:0005515
Zm00001d049810	GO:0005515
Zm00001d025707	GO:0005515
Zm00001d025990	GO:0005515
Zm00001d024251	GO:0005515
Zm00001d040912	GO:0005515
Zm00001d042214	GO:0005515
Zm00001d036534	GO:0005515
Zm00001d036647	GO:0005515
Zm00001d036092	GO:0005515
Zm00001d007247	GO:0005515
Zm00001d039448	GO:0005515
Zm00001d015698	GO:0005515
Zm00001d034428	GO:0005515
Zm00001d006769	GO:0005515
Zm00001d000160	GO:0005515
Zm00001d032969	GO:0005515
Zm00001d052936	GO:0005515
Zm00001d002043	GO:0005515
Zm00001d018355	GO:0005515
Zm00001d012801	GO:0005515
Zm00001d022106	GO:0005515
Zm00001d035252	GO:0005515
Zm00001d021613	GO:0005515
Zm00001d011994	GO:0005515
Zm00001d047636	GO:0005515
Zm00001d048282	GO:0005515
Zm00001d038691	GO:0005515
Zm00001d016228	GO:0005515
Zm00001d035817	GO:0005515
Zm00001d017430	GO:0005515
Zm00001d052270	GO:0005515
Zm00001d033977	GO:0005515
Zm00001d011396	GO:0005515
Zm00001d012042	GO:0005515
Zm00001d002650	GO:0005515
Zm00001d023962	GO:0005515
Zm00001d040310	GO:0005515
Zm00001d042216	GO:0005515
Zm00001d018199	GO:0005515
Zm00001d038813	GO:0005515
Zm00001d007712	GO:0005515
Zm00001d036673	GO:0005515
Zm00001d020947	GO:0005515
Zm00001d043890	GO:0005515
Zm00001d006173	GO:0005515
Zm00001d000152	GO:0005515
Zm00001d044433	GO:0005515
Zm00001d044197	GO:0005515
Zm00001d051893	GO:0005515
Zm00001d052781	GO:0005515
Zm00001d000306	GO:0005515
Zm00001d022500	GO:0005515
Zm00001d025221	GO:0005515
Zm00001d029801	GO:0005515
Zm00001d044385	GO:0005515
Zm00001d009724	GO:0005515
Zm00001d023246	GO:0005515
Zm00001d025421	GO:0005515
Zm00001d037156	GO:0005515
Zm00001d007550	GO:0005515
Zm00001d003112	GO:0005515
Zm00001d051094	GO:0005515
Zm00001d006478	GO:0005515
Zm00001d041916	GO:0005515
Zm00001d021343	GO:0005515
Zm00001d046950	GO:0005515
Zm00001d051871	GO:0005515
Zm00001d051484	GO:0005515
Zm00001d005102	GO:0005515
Zm00001d016615	GO:0005515
Zm00001d044773	GO:0005515
Zm00001d051241	GO:0005515
Zm00001d011102	GO:0005515
Zm00001d043081	GO:0005515
Zm00001d010121	GO:0005515
Zm00001d017818	GO:0005515
Zm00001d023868	GO:0005515
Zm00001d014464	GO:0005515
Zm00001d030526	GO:0005515
Zm00001d015974	GO:0005515
Zm00001d003993	GO:0005515
Zm00001d034592	GO:0005515
Zm00001d008886	GO:0005515
Zm00001d033482	GO:0005515
Zm00001d006623	GO:0005515
Zm00001d021607	GO:0005515
Zm00001d043251	GO:0005515
Zm00001d010401	GO:0005515
Zm00001d024008	GO:0005515
Zm00001d021713	GO:0005515
Zm00001d018261	GO:0005515
Zm00001d015101	GO:0005515
Zm00001d053207	GO:0005515
Zm00001d038541	GO:0005515
Zm00001d014040	GO:0005515
Zm00001d053079	GO:0005515
Zm00001d011757	GO:0005515
Zm00001d017931	GO:0005515
Zm00001d039510	GO:0005515
Zm00001d012779	GO:0005515
Zm00001d035756	GO:0005515
Zm00001d048310	GO:0005515
Zm00001d034850	GO:0005515
Zm00001d003567	GO:0005515
Zm00001d001937	GO:0005515
Zm00001d053236	GO:0005515
Zm00001d012101	GO:0005515
Zm00001d022049	GO:0005515
Zm00001d001895	GO:0005515
Zm00001d011713	GO:0005515
Zm00001d005281	GO:0005515
Zm00001d028830	GO:0005515
Zm00001d020359	GO:0005515
Zm00001d004023	GO:0005515
Zm00001d000176	GO:0005515
Zm00001d052197	GO:0005515
Zm00001d027518	GO:0005515
Zm00001d042432	GO:0005515
Zm00001d031892	GO:0005515
